crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Cotton,Central Valley,Sandy Loam,Summer,7.56,28.1,817.3,62.1,640.5,167.6,1.5,11.3,151.1,82.2,93.6,1.53
Soybean,Central Valley,Sandy Loam,Autumn,7.06,17.9,1730.4,51.7,348.3,235.5,2.47,33.5,60.6,18.2,118.4,2.25
Tomato,Central Valley,Silt Loam,Spring,6.93,30.4,906.8,60.0,218.1,208.2,17.81,44.4,165.0,75.2,108.5,19.27
Cotton,Great Plains,Clay,Rabi,7.29,25.3,1158.2,85.9,197.1,80.7,1.9,40.4,105.1,52.2,75.9,1.73
Corn,Great Plains,Black Soil,Autumn,7.92,24.9,580.8,83.1,460.1,222.9,4.85,21.9,157.6,34.4,97.8,4.86
Potato,Pacific Northwest,Clay,Summer,7.34,20.7,837.0,84.7,164.5,84.7,14.42,22.6,93.6,25.7,41.4,14.85
Potato,Great Plains,Sandy Loam,Autumn,5.39,32.7,914.7,78.5,856.8,54.5,8.8,23.8,163.3,55.3,67.7,11.01
Corn,Southeast,Silt Loam,Spring,7.4,32.0,1651.8,64.4,318.3,161.7,4.66,27.4,94.4,61.8,99.8,4.35
Soybean,Midwest,Silt Loam,Rabi,6.8,34.1,1208.2,73.1,167.2,148.6,2.23,49.1,161.4,27.7,46.0,2.0
Corn,Midwest,Silt Loam,Summer,7.84,21.6,1729.2,61.1,767.9,158.2,4.45,17.5,144.9,18.6,115.2,4.14
Wheat,Pacific Northwest,Loamy,Kharif,8.05,20.0,379.6,47.6,201.0,204.0,3.91,38.0,119.0,30.3,89.9,3.21
Cotton,Southeast,Clay,Autumn,7.44,18.3,1538.0,88.2,186.5,55.9,1.58,30.8,83.7,62.4,115.8,1.52
Potato,Pacific Northwest,Clay,Kharif,7.69,20.9,1360.9,55.1,647.4,235.3,16.49,30.0,151.5,54.6,24.1,14.43
Tomato,Great Plains,Alluvial,Summer,7.14,16.3,959.1,64.5,446.8,133.3,16.57,4.4,164.8,47.2,35.3,17.37
Wheat,Pacific Northwest,Black Soil,Summer,7.96,31.5,1024.1,81.3,574.0,124.1,3.25,31.2,74.4,80.4,47.9,3.06
Potato,Midwest,Silt Loam,Autumn,6.34,16.6,1583.9,49.1,269.7,233.5,12.97,30.9,87.6,76.6,90.1,14.29
Corn,Delta Region,Loamy,Autumn,5.46,30.4,1058.4,77.9,652.5,198.6,4.33,47.5,108.7,70.5,29.3,4.2
Wheat,Great Plains,Alluvial,Rabi,6.94,25.5,1119.8,61.3,696.7,126.1,3.34,16.0,138.4,34.0,45.1,3.19
Rice,Pacific Northwest,Clay,Summer,6.81,31.2,618.5,50.8,487.4,216.7,3.8,6.9,176.7,51.7,48.3,3.82
Rice,Midwest,Sandy Loam,Rabi,6.11,30.2,533.5,42.3,143.6,117.2,2.99,18.7,172.2,59.7,95.3,3.21
Rice,Central Valley,Black Soil,Summer,6.52,19.7,424.5,87.1,482.2,239.1,3.6,24.0,96.1,20.2,82.9,3.61
Rice,Midwest,Clay,Autumn,5.46,21.0,1159.2,60.8,576.9,192.2,3.71,47.5,148.6,41.6,110.9,3.55
Corn,Delta Region,Silt Loam,Summer,5.38,35.2,493.9,78.1,600.4,110.9,5.9,28.9,51.4,31.8,75.2,4.82
Wheat,Central Valley,Silt Loam,Spring,6.61,16.7,767.8,54.1,787.7,66.4,3.32,34.8,72.7,33.5,99.1,3.26
Tomato,Pacific Northwest,Clay,Spring,5.87,19.0,735.2,47.1,147.7,232.3,12.82,6.6,123.3,72.7,112.1,15.05
Potato,Central Valley,Silt Loam,Summer,8.03,26.0,1066.0,44.0,131.9,149.4,14.63,35.3,85.1,32.5,29.1,14.67
Soybean,Delta Region,Black Soil,Kharif,7.22,21.4,408.3,77.8,476.4,199.8,2.14,50.0,168.3,27.7,78.5,2.15
Soybean,Great Plains,Loamy,Spring,6.2,29.4,1593.7,56.5,654.9,116.3,2.19,18.1,172.3,71.9,75.0,2.03
Potato,Central Valley,Sandy Loam,Summer,8.11,24.1,1096.2,89.4,626.1,174.8,16.99,16.8,97.9,28.1,56.2,14.9
Cotton,Great Plains,Alluvial,Spring,5.81,27.0,1695.1,61.9,658.6,77.9,2.01,38.2,176.2,57.6,43.9,1.71
Wheat,Southeast,Black Soil,Kharif,5.48,35.8,1673.7,63.1,194.0,241.4,3.87,28.1,109.8,65.2,70.9,3.09
Corn,Great Plains,Silt Loam,Spring,6.85,23.7,1686.7,65.4,803.5,248.7,5.0,12.9,78.7,70.3,61.5,5.1
Cotton,Delta Region,Sandy Loam,Kharif,6.1,27.7,1798.4,64.5,218.9,173.9,1.53,14.9,88.3,53.6,74.3,1.55
Potato,Southeast,Clay,Rabi,5.9,31.5,413.3,77.2,664.2,236.6,14.72,29.0,94.1,61.5,102.1,13.43
Wheat,Great Plains,Loamy,Rabi,6.97,33.4,1617.6,62.0,520.8,155.1,2.46,25.6,141.1,43.7,85.5,2.69
Wheat,Central Valley,Silt Loam,Summer,7.28,29.0,1585.1,82.6,787.5,137.4,2.69,17.6,84.3,65.3,95.9,2.77
Cotton,Delta Region,Loamy,Autumn,7.09,34.4,1796.3,77.3,447.2,72.6,1.55,4.4,128.7,76.1,64.4,1.67
Soybean,Southeast,Loamy,Kharif,5.37,23.2,974.5,52.2,429.6,206.8,1.94,16.9,65.2,27.3,80.9,2.04
Potato,Delta Region,Alluvial,Rabi,6.95,20.6,1275.0,63.0,633.5,256.7,16.27,25.4,105.1,35.1,74.7,14.39
Rice,Great Plains,Sandy Loam,Autumn,8.09,29.8,1012.4,55.1,899.5,246.3,3.93,15.7,54.9,41.7,55.9,3.67
Corn,Pacific Northwest,Sandy Loam,Kharif,7.17,21.5,1170.6,74.3,695.7,61.3,3.49,48.9,124.9,49.8,110.4,3.83
Corn,Midwest,Black Soil,Summer,5.77,21.0,1445.6,78.4,644.7,81.5,4.78,11.7,53.6,58.9,23.9,4.38
Cotton,Great Plains,Loamy,Autumn,5.59,34.2,823.7,60.8,260.6,230.9,1.47,18.9,162.7,40.6,70.2,1.51
Corn,Midwest,Sandy Loam,Spring,6.09,33.4,1516.1,63.4,160.2,223.5,4.96,48.4,71.6,62.3,87.4,4.59
Potato,Delta Region,Sandy Loam,Kharif,5.24,26.7,1009.4,73.6,637.9,184.4,15.04,39.7,155.1,80.8,30.8,13.44
Wheat,Great Plains,Loamy,Autumn,6.88,34.3,671.0,43.2,759.1,259.2,2.87,44.3,82.3,43.6,34.0,3.06
Rice,Southeast,Silt Loam,Kharif,7.86,18.7,1007.8,73.5,694.5,267.6,3.97,5.8,98.7,67.0,35.5,3.54
Potato,Pacific Northwest,Loamy,Spring,8.02,21.6,1350.9,50.9,455.8,104.3,18.56,31.2,90.8,83.7,56.7,15.75
Soybean,Southeast,Loamy,Spring,8.1,35.0,1545.1,44.6,269.7,197.1,1.81,14.5,176.0,18.5,53.4,1.95
Wheat,Delta Region,Clay,Kharif,6.86,27.7,1528.9,51.6,719.5,231.4,2.73,41.7,123.4,34.4,118.4,2.85
Wheat,Delta Region,Sandy Loam,Rabi,7.8,18.6,869.5,79.4,571.1,53.6,3.76,6.4,77.2,23.9,62.1,3.07
Rice,Pacific Northwest,Loamy,Spring,6.29,27.9,1005.4,51.1,592.1,217.3,4.35,23.0,167.2,61.1,50.2,4.28
Soybean,Central Valley,Loamy,Spring,6.48,18.2,1383.0,62.2,819.4,124.1,2.47,42.5,60.8,23.8,82.4,2.36
Tomato,Delta Region,Alluvial,Summer,6.99,21.9,1083.0,61.5,734.5,76.3,17.34,19.7,131.7,76.4,75.1,16.59
Cotton,Midwest,Silt Loam,Spring,6.44,32.5,928.2,76.5,350.0,121.9,1.56,44.5,75.7,81.8,88.7,1.61
Potato,Central Valley,Loamy,Kharif,5.49,30.8,1527.1,67.8,569.2,179.2,14.33,5.6,86.2,23.6,55.4,13.24
Soybean,Great Plains,Alluvial,Kharif,7.0,23.0,1188.0,50.6,625.4,101.6,2.29,48.5,55.2,74.2,56.8,2.35
Cotton,Southeast,Black Soil,Rabi,7.74,35.5,1536.7,70.7,614.2,56.0,1.8,40.6,170.1,73.1,46.7,1.7
Wheat,Southeast,Alluvial,Summer,6.25,19.6,557.7,72.9,155.7,220.4,3.07,46.2,176.1,21.4,73.0,3.53
Potato,Great Plains,Silt Loam,Summer,6.13,22.5,1715.0,69.8,806.7,85.8,15.86,8.7,145.6,18.5,28.2,13.84
Potato,Pacific Northwest,Silt Loam,Spring,6.44,20.3,1092.9,57.3,188.7,206.0,12.17,30.7,123.0,51.9,50.8,14.46
Wheat,Great Plains,Black Soil,Kharif,6.1,20.2,549.0,52.8,362.5,51.8,3.09,1.4,144.6,27.3,58.0,3.2
Soybean,Midwest,Black Soil,Autumn,7.62,17.4,1599.6,42.1,115.0,261.9,2.36,41.8,160.7,55.3,77.3,2.17
Soybean,Pacific Northwest,Silt Loam,Summer,5.26,22.5,1511.9,70.9,765.6,261.5,1.92,6.6,52.3,74.1,44.3,1.8
Tomato,Great Plains,Black Soil,Kharif,6.13,22.8,832.9,48.4,508.4,76.2,16.79,20.4,111.4,78.4,54.9,18.08
Soybean,Pacific Northwest,Clay,Rabi,5.97,19.5,571.7,78.0,160.3,268.8,2.27,6.0,127.9,47.5,76.4,1.98
Tomato,Great Plains,Alluvial,Autumn,8.16,22.5,1757.9,55.8,451.8,157.9,18.47,32.5,128.4,70.7,79.1,16.93
Corn,Delta Region,Loamy,Summer,5.31,23.4,766.3,72.2,881.9,70.8,3.99,23.6,123.2,41.9,78.0,4.17
Cotton,Pacific Northwest,Loamy,Spring,6.91,19.8,1227.3,65.1,866.2,153.6,1.82,45.5,153.5,73.6,118.2,1.63
Rice,Delta Region,Alluvial,Rabi,7.32,35.8,1109.9,70.5,391.1,261.1,4.0,2.9,94.2,69.2,87.9,3.9
Rice,Pacific Northwest,Alluvial,Summer,5.48,29.6,762.0,76.2,625.3,258.5,4.42,4.2,162.3,38.3,78.3,4.2
Wheat,Southeast,Sandy Loam,Spring,7.33,17.7,1160.4,72.2,362.8,79.4,2.54,7.3,138.4,81.3,119.7,2.67
Tomato,Central Valley,Alluvial,Spring,5.25,22.2,1729.2,57.1,712.9,94.2,19.39,25.9,180.0,25.8,49.6,17.43
Cotton,Central Valley,Black Soil,Autumn,7.85,16.8,838.3,78.3,204.8,136.6,1.94,41.9,62.7,73.2,97.1,2.01
Cotton,Midwest,Alluvial,Spring,6.29,30.4,1755.9,70.5,701.9,230.3,1.95,3.1,72.8,31.7,116.6,1.93
Cotton,Great Plains,Clay,Summer,6.91,24.8,1465.7,78.9,502.3,146.3,2.06,34.2,62.7,29.0,80.5,1.87
Cotton,Southeast,Loamy,Spring,6.86,18.1,1576.5,82.6,328.1,225.5,1.71,43.8,78.2,78.4,34.7,1.74
Potato,Central Valley,Clay,Spring,7.99,24.3,924.9,58.7,408.9,68.8,12.82,44.3,71.4,37.3,29.9,12.55
Soybean,Pacific Northwest,Sandy Loam,Rabi,6.06,32.6,1359.3,46.9,664.4,153.2,2.04,7.7,40.7,20.5,45.6,1.94
Cotton,Midwest,Black Soil,Autumn,5.53,21.8,786.7,42.4,435.9,232.6,2.42,26.9,104.0,22.8,110.5,1.83
Tomato,Delta Region,Loamy,Autumn,7.36,21.8,352.3,57.6,556.5,93.1,19.85,29.2,133.6,51.6,56.1,16.81
Tomato,Delta Region,Black Soil,Autumn,6.37,25.4,1271.7,89.1,302.9,53.7,16.73,28.2,150.4,39.1,93.3,18.22
Soybean,Central Valley,Black Soil,Summer,6.26,22.8,1282.1,81.5,647.7,275.6,2.22,7.5,107.0,27.8,33.5,2.09
Soybean,Great Plains,Loamy,Summer,7.57,33.7,807.6,55.5,418.6,237.5,1.96,10.9,106.3,17.6,84.7,2.09
Corn,Southeast,Loamy,Summer,7.6,24.7,930.0,62.0,865.2,128.0,4.1,14.4,66.2,63.4,56.7,4.4
Cotton,Delta Region,Sandy Loam,Kharif,5.44,28.0,1542.4,67.3,357.0,68.4,1.81,36.6,132.5,36.5,80.3,1.63
Potato,Midwest,Alluvial,Spring,5.33,33.4,861.2,89.9,319.6,275.4,19.16,18.2,172.7,20.3,83.8,15.81
Corn,Delta Region,Alluvial,Rabi,5.63,28.2,1482.9,41.7,153.8,229.1,3.2,47.7,91.3,41.8,76.7,4.11
Tomato,Midwest,Alluvial,Spring,6.32,31.3,1182.2,66.5,418.4,199.4,16.21,47.5,74.9,22.9,93.6,18.74
Potato,Delta Region,Silt Loam,Autumn,7.52,30.1,661.1,70.6,655.2,279.7,12.78,6.8,68.0,24.5,27.4,13.01
Wheat,Pacific Northwest,Silt Loam,Kharif,8.1,35.7,1318.4,75.5,540.0,116.8,3.44,40.7,82.0,26.0,91.0,3.09
Soybean,Pacific Northwest,Clay,Summer,5.56,20.0,551.4,79.5,121.0,177.4,1.8,25.9,91.6,71.3,75.2,1.81
Tomato,Central Valley,Loamy,Summer,7.35,25.6,945.7,60.5,559.9,78.8,16.72,20.5,84.4,20.2,66.6,16.88
Tomato,Southeast,Clay,Autumn,5.75,35.3,977.3,85.5,144.3,78.6,22.77,32.3,61.4,26.5,52.3,18.8
Soybean,Midwest,Sandy Loam,Autumn,7.74,21.0,1270.8,67.5,200.1,119.6,1.78,44.9,114.7,50.2,36.9,1.92
Tomato,Midwest,Clay,Autumn,7.02,32.9,1167.2,81.3,122.7,60.5,23.73,36.3,129.8,55.4,85.1,19.84
Cotton,Delta Region,Silt Loam,Autumn,6.69,28.5,770.0,87.8,486.4,235.1,1.39,32.3,135.9,35.8,27.3,1.69
Rice,Midwest,Silt Loam,Spring,5.81,28.1,803.2,75.9,687.4,248.0,4.52,24.7,176.6,24.2,57.1,4.03
Tomato,Central Valley,Sandy Loam,Rabi,6.0,21.0,490.4,54.5,407.3,191.5,19.2,23.9,74.8,75.6,36.0,18.1
Corn,Delta Region,Alluvial,Summer,5.68,35.9,1026.9,84.0,497.9,70.7,3.96,10.3,95.1,47.0,44.1,4.06
Tomato,Southeast,Loamy,Kharif,6.99,32.9,1325.2,54.3,106.5,74.7,9.25,14.8,58.8,33.5,56.6,13.19
Potato,Southeast,Loamy,Spring,6.89,23.3,768.5,59.3,460.3,176.5,13.95,3.5,155.5,58.6,81.1,14.22
Wheat,Central Valley,Silt Loam,Summer,6.22,34.8,1444.7,50.0,507.3,165.0,3.98,39.9,46.3,24.6,53.3,3.09
Potato,Delta Region,Silt Loam,Rabi,6.75,22.6,1238.9,48.1,892.5,220.0,13.54,30.7,81.9,38.5,102.8,14.02
Tomato,Great Plains,Alluvial,Autumn,7.65,23.4,1327.0,89.0,567.0,233.3,21.89,15.7,141.5,63.2,22.7,18.56
Potato,Southeast,Alluvial,Autumn,7.36,27.7,597.2,71.5,595.8,243.5,17.03,29.3,60.7,62.7,23.2,14.99
Soybean,Central Valley,Clay,Kharif,6.46,24.3,645.6,65.1,589.2,158.5,1.88,22.6,158.8,65.9,90.6,2.13
Tomato,Midwest,Black Soil,Summer,6.64,23.5,1737.2,63.0,526.5,175.6,18.54,49.9,134.6,75.7,88.1,17.57
Cotton,Pacific Northwest,Sandy Loam,Autumn,8.07,21.6,782.8,87.1,885.8,227.4,1.82,24.7,138.7,63.3,68.9,1.61
Potato,Southeast,Black Soil,Summer,6.92,26.9,1648.9,59.7,376.1,227.8,14.75,15.1,60.5,17.9,115.5,14.02
Rice,Southeast,Silt Loam,Summer,5.84,32.6,743.1,68.1,317.3,75.1,4.7,37.6,143.7,31.7,25.1,3.75
Tomato,Midwest,Alluvial,Rabi,6.44,30.3,495.8,78.5,104.1,176.6,23.76,3.6,170.1,43.5,113.5,18.94
Potato,Great Plains,Alluvial,Rabi,6.06,21.7,435.8,78.4,621.8,103.4,14.17,38.0,143.4,74.5,23.7,14.87
Wheat,Great Plains,Clay,Kharif,6.39,25.9,1708.1,88.1,840.8,251.7,3.33,49.9,41.3,54.8,30.7,2.92
Corn,Southeast,Silt Loam,Autumn,7.87,18.7,1081.1,53.6,747.1,126.1,4.46,26.7,142.4,60.4,91.9,4.12
Rice,Pacific Northwest,Sandy Loam,Summer,7.47,19.5,1591.4,84.9,761.6,168.5,3.46,28.8,52.1,61.8,38.5,3.41
Wheat,Great Plains,Sandy Loam,Rabi,6.35,24.9,737.1,56.5,566.0,181.8,3.37,1.3,76.6,40.2,43.6,3.18
Soybean,Central Valley,Silt Loam,Summer,7.26,34.5,1637.3,78.5,652.2,196.9,2.5,8.8,171.7,40.7,42.1,2.19
Wheat,Great Plains,Clay,Spring,7.02,24.3,1146.4,63.5,530.0,202.7,3.59,37.6,70.6,32.3,95.5,3.45
Cotton,Central Valley,Black Soil,Spring,6.29,34.3,512.7,81.4,822.3,96.5,1.58,26.9,115.1,26.5,105.4,1.62
Potato,Central Valley,Alluvial,Rabi,6.67,34.0,995.9,42.8,205.6,145.5,16.13,36.1,118.9,54.1,87.3,15.22
Corn,Pacific Northwest,Loamy,Spring,5.21,20.4,455.9,61.2,660.3,174.5,4.59,13.5,48.4,77.6,118.6,4.32
Potato,Central Valley,Sandy Loam,Spring,5.61,28.8,1407.5,88.2,399.6,255.0,17.28,9.8,102.8,79.2,57.7,14.13
Rice,Pacific Northwest,Alluvial,Autumn,7.78,18.4,1789.6,59.7,201.9,275.1,4.11,7.5,156.9,67.9,117.8,3.58
Potato,Pacific Northwest,Alluvial,Autumn,6.34,20.6,1017.9,47.8,250.8,251.3,14.03,21.8,147.2,17.3,86.0,15.73
Tomato,Central Valley,Clay,Rabi,6.98,24.9,1324.4,83.6,295.8,60.2,20.23,4.3,101.5,52.8,95.4,18.95
Cotton,Central Valley,Clay,Autumn,5.9,34.3,1185.4,68.9,718.0,238.2,2.15,49.7,73.2,76.3,118.6,1.79
Tomato,Midwest,Silt Loam,Summer,6.87,27.8,1416.1,48.8,643.0,177.8,19.84,14.5,46.6,39.1,84.3,18.14
Potato,Delta Region,Sandy Loam,Spring,6.1,19.7,1130.0,52.0,280.3,247.2,15.21,21.0,60.2,47.4,25.8,14.67
Potato,Great Plains,Black Soil,Autumn,5.93,20.1,1287.7,86.1,777.7,71.3,14.71,7.6,141.4,28.3,46.8,14.06
Soybean,Delta Region,Black Soil,Kharif,5.76,31.2,1400.2,67.9,483.5,250.0,1.93,43.8,86.6,82.0,21.5,2.3
Wheat,Pacific Northwest,Loamy,Spring,7.29,30.1,925.1,52.0,357.3,115.1,2.72,45.8,105.3,60.4,50.8,2.7
Corn,Delta Region,Silt Loam,Spring,8.14,25.4,1567.6,85.7,396.6,145.2,5.4,5.8,118.8,30.5,34.6,4.64
Corn,Delta Region,Black Soil,Autumn,6.09,19.9,683.5,68.5,296.6,176.6,5.03,36.3,172.1,38.6,96.3,4.79
Potato,Pacific Northwest,Alluvial,Spring,7.4,23.0,552.9,67.3,247.2,254.6,14.47,23.6,178.6,82.0,72.4,14.29
Cotton,Central Valley,Alluvial,Kharif,6.44,32.9,685.6,75.4,107.3,166.3,1.82,38.5,92.2,58.2,86.7,1.71
Tomato,Great Plains,Alluvial,Spring,6.8,24.2,374.3,76.1,528.6,115.9,20.63,1.8,110.3,63.9,63.1,19.52
Wheat,Central Valley,Loamy,Autumn,5.78,26.5,1532.1,53.4,417.5,135.8,2.8,8.3,96.8,54.6,119.0,2.72
Wheat,Southeast,Alluvial,Kharif,7.77,31.2,485.6,59.0,542.2,62.9,3.4,33.0,41.3,27.0,70.0,2.93
Potato,Pacific Northwest,Sandy Loam,Autumn,8.12,33.9,1682.8,51.5,821.0,209.2,12.71,48.9,119.3,34.0,112.4,11.96
Soybean,Southeast,Black Soil,Autumn,5.74,33.0,372.7,50.4,215.4,238.8,2.28,33.2,154.9,80.0,49.9,2.04
Tomato,Midwest,Black Soil,Spring,6.82,23.7,1422.6,79.5,651.4,68.0,16.73,34.2,144.4,39.2,29.8,16.87
Wheat,Central Valley,Sandy Loam,Autumn,8.06,23.9,1471.7,41.5,318.7,278.3,2.5,38.7,108.7,39.9,114.1,2.55
Potato,Midwest,Alluvial,Autumn,5.46,28.4,1507.2,75.7,165.6,85.5,12.94,33.4,139.6,59.4,94.0,12.59
Corn,Southeast,Loamy,Kharif,6.12,23.2,741.2,46.6,249.9,153.2,4.81,1.3,117.7,43.6,22.6,5.1
Corn,Delta Region,Loamy,Autumn,6.17,23.7,773.2,59.4,167.8,257.3,5.19,30.3,166.7,83.5,77.2,5.03
Wheat,Pacific Northwest,Silt Loam,Rabi,6.1,25.9,441.7,61.7,436.9,161.4,3.19,7.8,50.8,32.6,44.7,2.94
Soybean,Great Plains,Black Soil,Autumn,5.52,22.1,1725.8,56.6,596.2,234.9,2.19,10.6,86.1,38.4,101.5,2.05
Cotton,Pacific Northwest,Black Soil,Rabi,7.01,29.9,1044.6,48.9,418.6,123.4,1.89,15.7,142.9,59.3,116.8,1.81
Cotton,Midwest,Sandy Loam,Spring,7.56,23.3,1701.5,50.0,897.8,91.4,1.94,14.7,147.5,16.9,92.7,1.8
Soybean,Midwest,Silt Loam,Summer,5.41,33.0,1502.8,73.6,211.3,119.7,2.16,41.7,75.4,25.8,62.3,2.07
Potato,Central Valley,Silt Loam,Autumn,6.4,26.1,1684.6,74.6,534.9,231.9,16.0,24.5,90.3,77.7,73.7,13.93
Soybean,Central Valley,Loamy,Rabi,6.27,28.9,414.2,89.2,642.0,141.9,2.27,33.2,145.4,82.6,63.0,2.31
Rice,Central Valley,Sandy Loam,Rabi,6.76,27.6,1184.1,62.3,412.9,227.6,3.86,26.0,122.4,50.0,54.5,3.75
Rice,Great Plains,Loamy,Summer,8.09,18.3,1714.0,47.1,349.5,154.7,3.81,21.4,69.0,48.8,67.6,3.47
Potato,Pacific Northwest,Alluvial,Spring,6.1,32.2,516.9,82.5,618.4,205.7,17.66,16.6,63.0,83.9,44.4,15.93
Wheat,Delta Region,Clay,Summer,8.08,20.6,937.3,49.2,612.4,149.4,4.23,28.4,44.1,58.0,39.7,3.3
Tomato,Great Plains,Silt Loam,Kharif,5.82,31.0,1522.7,43.1,181.4,250.6,20.36,35.5,66.2,37.8,65.8,19.31
Corn,Pacific Northwest,Silt Loam,Autumn,6.14,23.8,919.2,45.7,381.6,155.3,6.11,48.3,64.2,62.2,100.1,5.14
Tomato,Delta Region,Loamy,Rabi,5.92,18.3,891.3,47.1,410.8,187.2,15.73,16.3,120.5,44.6,68.7,16.31
Tomato,Pacific Northwest,Alluvial,Rabi,6.67,18.8,806.1,62.6,142.9,132.6,12.27,28.2,41.3,24.6,101.5,15.23
Tomato,Delta Region,Alluvial,Spring,6.68,30.2,993.6,48.4,552.3,233.1,15.95,21.0,70.9,17.3,42.5,18.37
Corn,Midwest,Silt Loam,Autumn,7.5,27.0,514.2,45.7,720.1,239.4,4.84,37.4,91.4,72.6,24.2,5.06
Soybean,Great Plains,Black Soil,Rabi,5.51,32.6,1439.5,54.9,899.5,153.4,2.51,49.5,88.8,72.2,63.9,2.07
Rice,Midwest,Clay,Autumn,7.78,28.2,970.8,70.8,727.9,237.1,3.29,34.8,152.8,54.9,73.2,3.53
Tomato,Delta Region,Clay,Summer,6.08,27.5,1731.0,65.7,820.1,237.5,14.44,49.0,59.0,67.5,61.2,17.09
Rice,Southeast,Alluvial,Rabi,5.6,18.9,817.0,52.4,774.8,140.3,4.47,35.4,59.9,59.3,82.8,3.82
